OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength,centroid_lat,centroid_lon,nearest_facility_id,nearest_facility_name,nearest_facility_distance_km,nearest_facility_distance_miles,count_within_1km,count_within_5km,count_within_10km,count_within_15km,count_within_25km,count_within_1mi,count_within_3mi,count_within_5mi,count_within_10mi,count_within_15mi
6152,320102,3201.02,13194185.224648938,16354.311615959206,34.29240884852951,-118.4244371590715,459,BIENESTAR DRUG TREATMENT PROGRAM,7.74,4.81,0,0,2,3,4,0,0,1,3,4
6153,320201,3202.01,9893645.495017353,16454.76897054008,34.28603890195487,-118.43964883846685,459,BIENESTAR DRUG TREATMENT PROGRAM,6.727,4.18,0,0,2,3,4,0,0,1,3,4
6154,320202,3202.02,17383225.24996267,18518.424828157426,34.28975147807906,-118.4345213737489,459,BIENESTAR DRUG TREATMENT PROGRAM,7.216,4.484,0,0,2,3,4,0,0,1,3,4
6155,320300,3203.00,18455638.633443937,18337.889044872227,34.282152495065695,-118.44587347238995,459,BIENESTAR DRUG TREATMENT PROGRAM,6.235,3.874,0,0,3,3,4,0,0,1,3,4
6156,400205,4002.05,257115263.31094778,84603.3785078327,34.14777965807452,-117.71618690770646,711,HERITAGE RECOVERY CENTER,15.942,9.906,0,0,0,0,1,0,0,0,1,1
6157,400206,4002.06,36094785.21922091,31912.214900040704,34.1266472649977,-117.71533946644692,711,HERITAGE RECOVERY CENTER,14.911,9.266,0,0,0,1,1,0,0,0,1,1
6158,400207,4002.07,54108335.8751357,56442.47962396078,34.14311579858134,-117.76941802760749,711,HERITAGE RECOVERY CENTER,11.702,7.271,0,0,0,1,2,0,0,0,1,2
6159,400208,4002.08,8851514.066335721,13823.67533344409,34.1266532199287,-117.77306116445146,711,HERITAGE RECOVERY CENTER,10.283,6.39,0,0,0,1,3,0,0,0,1,2
6160,400209,4002.09,73887794.26935461,40593.924233862155,34.13285118617165,-117.75623920450276,711,HERITAGE RECOVERY CENTER,11.946,7.423,0,0,0,1,2,0,0,0,1,2
6161,400304,4003.04,33814221.29590481,33542.638820376655,34.10598280114477,-117.80078512364717,711,HERITAGE RECOVERY CENTER,6.877,4.273,0,0,1,1,3,0,0,1,1,3
6162,400402,4004.02,47185458.40105099,40506.20045563997,34.1356466483328,-117.82410696307079,711,HERITAGE RECOVERY CENTER,7.925,4.925,0,0,1,1,3,0,0,1,1,3
6163,400403,4004.03,141348544.94200426,59037.92975875243,34.14273801630207,-117.79568602090707,711,HERITAGE RECOVERY CENTER,10.015,6.223,0,0,0,1,3,0,0,0,1,3
6164,400404,4004.04,173968682.8475551,70709.49226312799,34.16119379157372,-117.82404502450622,711,HERITAGE RECOVERY CENTER,10.535,6.546,0,0,0,1,3,0,0,0,1,3
